Location name,Amount spent (USD)
Alabama,10582
Alaska,2396
American Samoa,≤100
Arizona,23842
Arkansas,5827
California,119798
Colorado,21356
Connecticut,9089
Delaware,2614
Florida,59054
Georgia,74644
Guam,107
Hawaii,3296
Idaho,5696
Illinois,28861
Indiana,16830
Iowa,10973
Kansas,7692
Kentucky,9058
Louisiana,16492
Maine,4908
Maryland,21697
Massachusetts,19792
Michigan,27416
Minnesota,14471
Mississippi,8038
Missouri,13599
Montana,4095
Nebraska,4093
Nevada,8801
New Hampshire,4319
New Jersey,24904
New Mexico,8927
New York,57460
North Carolina,31363
North Dakota,1507
Northern Mariana Islands,≤100
Ohio,33246
Oklahoma,9228
Oregon,13621
Pennsylvania,40425
Puerto Rico,≤100
Rhode Island,3337
South Carolina,11180
South Dakota,1568
Tennessee,16272
Texas,67169
Unknown,≤100
Utah,9355
Vermont,2127
Virgin Islands (U.S.),≤100
Virginia,25660
Washington,26529
"Washington, District of Columbia",15219
West Virginia,4995
Wisconsin,17302
Wyoming,1392